timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_vel_x,angular_vel_y,angular_vel_z,linear_acc_x,linear_acc_y,linear_acc_z
1741261535.054801,0.5157685,-0.0060119536,-0.008281727,0.85666686,-0.19281285,0.12889698,-1.6053534,1.0486604,-0.08619126,9.506178
1741261535.0566218,0.517142,-0.0061535407,-0.008386398,0.85583645,-0.17683388,0.092677996,-1.6074839,1.2389994,-0.075417355,9.3182335
1741261535.0589583,0.51919925,-0.006337124,-0.008555322,0.85458696,-0.18322547,0.075633764,-1.6010922,1.2389994,-0.075417355,9.3182335
1741261535.0606418,0.51988065,-0.0063961027,-0.008616092,0.8541716,-0.19707389,0.07137271,-1.595766,1.2389994,-0.075417355,9.3182335
1741261535.062987,0.5212383,-0.006507467,-0.008737895,0.85334176,-0.1821602,0.05752427,-1.5861785,1.1683705,-0.1340753,8.566454
1741261535.0647774,0.52259535,-0.0066188197,-0.008872072,0.85250896,-0.21411812,0.06604639,-1.595766,1.1683705,-0.1340753,8.566454
1741261535.0666318,0.52394205,-0.0067545325,-0.009003191,0.8516796,-0.23648869,0.07882956,-1.5776565,0.9588778,-0.12210429,8.89805
1741261535.0695565,0.524615,-0.0068349377,-0.009083154,0.85126376,-0.25246763,0.08841694,-1.5808523,0.9588778,-0.12210429,8.89805
1741261535.0715392,0.5266392,-0.007019118,-0.009492311,0.85000706,-0.36538565,-0.02450108,-1.5829828,0.9588778,-0.12210429,8.89805
1741261535.0749424,0.5279804,-0.0071461177,-0.009819975,0.84916985,-0.37497303,-0.03408846,-1.5861785,1.2641385,0.78888947,8.080431
1741261535.0763683,0.5299836,-0.007283274,-0.010300332,0.8479142,-0.3792341,-0.047936894,-1.584048,1.2641385,0.78888947,8.080431
1741261535.0779147,0.5306486,-0.0073249666,-0.010473252,0.8474956,-0.37816882,-0.07030744,-1.5723301,2.327164,-0.1604115,7.72968
1741261535.0789483,0.5326368,-0.0074421787,-0.011019614,0.84623957,-0.390952,-0.08309062,-1.5744606,2.327164,-0.1604115,7.72968
1741261535.0807323,0.53329843,-0.0074682236,-0.011201399,0.84582,-0.37390777,-0.09693905,-1.5680691,2.327164,-0.1604115,7.72968
1741261535.0829842,0.53461885,-0.007526519,-0.01157412,0.84498066,-0.38882148,-0.1043959,-1.5670038,2.4648306,-0.6775591,8.77834
1741261535.0848522,0.5359453,-0.007581189,-0.011964188,0.84413403,-0.39414778,-0.11611381,-1.5733954,2.4648306,-0.6775591,8.77834
1741261535.087127,0.5372784,-0.007592643,-0.012328694,0.84328073,-0.3217098,-0.13315804,-1.5904397,2.4013844,-0.81881696,9.307459
1741261535.0891085,0.5386122,-0.007580268,-0.012618694,0.84242517,-0.25353292,-0.119309604,-1.5861785,2.4013844,-0.81881696,9.307459
1741261535.0908957,0.53990567,-0.0074073593,-0.012851172,0.8415949,-0.058589537,-0.25140238,-1.5297196,-0.31483752,-4.6806645,11.707646
1741261535.0935657,0.54117537,-0.0070826034,-0.012932862,0.84078056,0.1523328,-0.27057713,-1.51161,-0.31483752,-4.6806645,11.707646
1741261535.0949836,0.54246587,-0.0068778815,-0.012898589,0.8399507,0.11398328,-0.05219795,-1.55209,-0.31483752,-4.6806645,11.707646
1741261535.0972257,0.54377645,-0.0068451995,-0.0129129635,0.8391029,-0.0447411,-0.0042610574,-1.5701996,-2.9700072,-2.0913353,22.576124
1741261535.0998108,0.5451258,-0.006782716,-0.012992786,0.83822614,-0.006391586,-0.10013484,-1.6426376,-2.9700072,-2.0913353,22.576124
1741261535.1007817,0.54650295,-0.0068663578,-0.012932181,0.8373293,-0.028762136,0.18642126,-1.636246,-1.733402,0.9648633,27.377697
1741261535.1030724,0.54783285,-0.007070187,-0.012845192,0.8364594,-0.079894826,0.21305287,-1.5819175,-1.733402,0.9648633,27.377697
1741261535.1047606,0.54919815,-0.0072853514,-0.012982876,0.83555955,-0.30892664,0.091612734,-1.6351807,-1.733402,0.9648633,27.377697
1741261535.1070457,0.550555,-0.0074392357,-0.013144539,0.8346623,-0.2652508,0.07350324,-1.6255933,0.2717419,0.29807812,19.78688
1741261535.1094086,0.5525066,-0.00785183,-0.013170698,0.8333675,-0.15765911,0.24820659,-1.5403723,0.2717419,0.29807812,19.78688
1741261535.1107926,0.5531548,-0.007983177,-0.013166511,0.8329362,-0.16831176,0.23542342,-1.5531554,0.3196259,-4.973954,7.773973
1741261535.1131773,0.55442405,-0.008070312,-0.013210939,0.8320904,-0.07669903,0.028762136,-1.5297196,0.3196259,-4.973954,7.773973
1741261535.114998,0.55569506,-0.008174049,-0.013362308,0.8312386,-0.1640507,0.029827401,-1.5307848,0.3196259,-4.973954,7.773973
1741261535.117203,0.55695,-0.008233712,-0.0134389745,0.8303966,-0.13741909,0.025566343,-1.5137405,-3.4165258,-1.3838485,8.543709
1741261535.1188102,0.5582023,-0.0082839215,-0.013554857,0.8295529,-0.11611381,-0.06604639,-1.5190669,-3.4165258,-1.3838485,8.543709
1741261535.120964,0.55946857,-0.008298172,-0.013576945,0.82869893,-0.03941478,0.02450108,-1.5265237,-3.4512417,0.1388637,4.5681367
1741261535.1232243,0.5607037,-0.008212402,-0.013357556,0.8278681,0.27057713,0.029827401,-1.4924353,-3.4512417,0.1388637,4.5681367
1741261535.1257868,0.5625409,-0.008002083,-0.0128725795,0.82663053,0.33662352,-0.0074568503,-1.4892395,0.56982,-3.0609868,5.746084
1741261535.1270888,0.563142,-0.007920828,-0.012761376,0.8262236,0.27057713,-0.03515372,-1.4594121,0.56982,-3.0609868,5.746084
1741261535.1294177,0.56433624,-0.0077705267,-0.01258916,0.82541263,0.25140238,-0.059654802,-1.4530206,0.56982,-3.0609868,5.746084
1741261535.130787,0.56550723,-0.007622486,-0.012425597,0.8246145,0.23861921,-0.03941478,-1.4146711,-0.60333884,-0.6823475,7.255628
1741261535.1330123,0.5666513,-0.0074441135,-0.012260196,0.8238329,0.18748651,-0.05432848,-1.3859088,-0.60333884,-0.6823475,7.255628
1741261535.1348417,0.56721526,-0.0073947227,-0.012222442,0.82344574,0.119309604,-0.05219795,-1.3741909,-0.60333884,-0.6823475,7.255628
